"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N"
"1400000US48201310600","Census Tract 3106, Harris County, Texas","4961","3289","1563","170","85","91","6","1374","1672","1627","9","25","15","0","1511","4","3","0","23","0","0","32","0","5","0","40","2","0","0","0","0","0","38","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"1400000US48201310700","Census Tract 3107, Harris County, Texas","3699","2475","1162","88","89","87","0","1049","1224","1193","8","20","7","0","1129","1","6","0","8","0","0","11","1","1","1","31","1","1","0","0","1","0","22","0","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201310800","Census Tract 3108, Harris County, Texas","2663","1938","727","110","40","43","1","1017","725","712","7","11","4","0","658","1","0","1","11","0","0","16","0","0","3","12","0","0","0","7","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201310900","Census Tract 3109, Harris County, Texas","5334","4000","1510","133","128","54","0","2175","1334","1311","8","18","3","1","1216","8","2","1","14","0","0","37","0","2","1","22","0","0","0","5","0","0","16","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201311001","Census Tract 3110.01, Harris County, Texas","3040","2286","667","42","68","14","0","1495","754","734","4","9","1","0","686","0","4","0","10","0","0","19","0","0","1","19","2","0","0","2","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"1400000US48201311002","Census Tract 3110.02, Harris County, Texas","3299","2533","918","46","48","7","3","1511","766","756","6","10","1","1","722","0","0","0","6","0","0","8","0","2","0","8","0","0","0","0","0","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"1400000US48201311100","Census Tract 3111, Harris County, Texas","5238","3762","1675","73","68","19","0","1927","1476","1455","4","6","4","0","1414","2","0","2","5","0","0","12","0","5","1","21","5","1","0","7","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201311200","Census Tract 3112, Harris County, Texas","4588","3177","1547","192","62","25","0","1351","1411","1387","10","25","7","2","1317","1","5","0","8","3","0","9","0","0","0","21","1","0","0","1","0","0","14","0","0","0","4","0","0","0","1","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"1400000US48201311300","Census Tract 3113, Harris County, Texas","4912","3303","1255","40","84","18","3","1903","1609","1559","4","20","9","0","1487","5","1","0","4","0","0","19","2","8","0","50","1","0","1","4","0","0","37","0","5","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201311400","Census Tract 3114, Harris County, Texas","1546","1178","368","158","26","0","0","626","368","367","7","6","4","1","345","0","0","0","3","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
